filename;date;x;set;cl;pver;product;description
/libevent-2.1/x64/memcached.exe;21/10/2024 15:55;64;;2.43;1.6.32;memcached;arch:x64-sse2 gcc:13.3.1 libevent:2.1 commit:8203c93 tag:1.6.32 date:2024-10-20
/libevent-2.1/x86/cygcrypto-1.1.dll;21/11/2022 09:03;32;avx (1332);2.39;1.1.1s;The OpenSSL Toolkit;OpenSSL library
/libevent-2.1/x86/cygevent-2-1-7.dll;30/11/2021 14:22;32;;2.29;n/a;n/a;n/a
/libevent-2.1/x86/cygevent_core-2-1-7.dll;30/11/2021 14:22;32;;2.29;n/a;n/a;n/a
/libevent-2.1/x86/cygevent_extra-2-1-7.dll;30/11/2021 14:22;32;;2.29;n/a;n/a;n/a
/libevent-2.1/x86/cygevent_openssl-2-1-7.dll;30/11/2021 14:22;32;;2.29;n/a;n/a;n/a
/libevent-2.1/x86/cygevent_pthreads-2-1-7.dll;30/11/2021 14:22;32;;2.29;n/a;n/a;n/a
/libevent-2.1/x86/cyggcc_s-1.dll;06/05/2022 09:22;32;;2.38;n/a;n/a;n/a
/libevent-2.1/x86/cygssl-1.1.dll;21/11/2022 09:03;32;;2.39;1.1.1s;The OpenSSL Toolkit;OpenSSL library
/libevent-2.1/x86/cygwin1.dll;01/01/1970 02:00;32;;2.37;3.3.6;Cygwin;Cygwin POSIX Emulation DLL
/libevent-2.1/x86/cygz.dll;21/11/2022 09:03;32;;2.39;1.2.13;zlib;zlib data compression library
/libevent-2.1/x86/memcached-avx-tls.exe;03/07/2023 08:01;32;avx (833);2.39;1.6.21;memcached:memcached-avx-tls;arch:x86-avx libevent:2.1 commit:efee763 tag:1.6.21 date:2023-06-15
/libevent-2.1/x86/memcached-avx.exe;03/07/2023 08:01;32;avx (830);2.39;1.6.21;memcached:memcached-avx;arch:x86-avx libevent:2.1 commit:efee763 tag:1.6.21 date:2023-06-15
/libevent-2.1/x86/memcached-tls.exe;03/07/2023 08:01;32;;2.39;1.6.21;memcached:memcached-tls;arch:x86 libevent:2.1 commit:efee763 tag:1.6.21 date:2023-06-15
/libevent-2.1/x86/memcached.exe;03/07/2023 08:01;32;;2.39;1.6.21;memcached;arch:x86 libevent:2.1 commit:efee763 tag:1.6.21 date:2023-06-15
/nssm/x64/nssm-2.25.0.exe;09/03/2023 12:08;64;avx (248);14.36;2.2.25.0;nssm:nssm-2.25.0;arch:x64-avx vcver:14.36[vs17] commit:a1c3260 branch:master date:2021-12-16
/nssm/x86/nssm-2.25.0.exe;09/03/2023 12:08;32;avx (84);14.36;2.2.25.0;nssm:nssm-2.25.0;arch:x86-avx vcver:14.36[vs17] commit:a1c3260 branch:master date:2021-12-16
